allegation,allegation_classification,allegation_categories,allegation_categories_description
"Employee Conduct - DR.03:08.000 (a) - members of the STPSO shall conduct themselves at all times, both on and off duty, in such a manner as to reflect most favorably on the Agency. Unbecoming conduct shall include that which brings the Agency into disrepute or reflects discredit upon the individual as a amember of the STPSO, or that which impairs the operaton or efficiency of the STPSO or the individual, Group 2 - Public Relations - DR.03:09.936. (a) discourteous treatment of the public - Group 3- Criminal/Immoral Conduct (f) taking any action which will impair the efficiency or reputation of the Agency, its members or employees - 40 hours suspension",Engaging in Criminal Activity,,
"DR.03:09.966.01 - Fraternization - c. Romantic or intimate persaon or other cloase relationships between employee and a know felon, inmate or incarcerated individual DR.03:09.954.01 - Confidentiality b. misusing or removing records or information without authorization DR.03:09.955.01 f. Taking any action which will impair the efficiency or repuation of the Agency, its members or employees - Discharged",Mishandling Evidence,,
DR.03:09.916.01 - Job Performance - b. Inadequate or unsatisfactory job performance - warning,Neglect of Duty and Professionalism,,
"Group 2 - DR.03:09.932.01 - Insubordination - Failure to follow supervisor's instructions, perform assigned work, or otherwise comply with policy. DR.03:09.933.01 - Language/Conflict - Suspension - 24 hours",Neglect of Duty and Professionalism,,
Internal Affairs investigation - Discharged,Other Allegation,,
"Group 2 - DR.03:09.933.01 - Language/ conduct - Using rude, discourteous, racial related, or insulting language, or conduct offensive to the public, supervisors, or other STPSO employees",Neglect of Duty and Professionalism,,
"DR.03:09.916.01 Inadequate Job Performance, DR.03:09.932.01 - Insubordination; DR.03:09.933.01 - Language/Conduct; DR.03:09.936 a Public Relations: Discourteous Treatment of the Public - terminated",Neglect of Duty and Professionalism,,
Inubordination (performance of assigned work and following supervisor instruction - DR>03:09.932.1 - warning,Neglect of Duty and Professionalism,,
DR.03:09.915.01 - b - failure to work cooperatively with other employees or supervisors DR.03:09.916.01 b - inadequate or unsatisfactory job performance - warning,Neglect of Duty and Professionalism,,
DR:03:09.919 Willful failure to make required report.,Neglect of Duty and Professionalism,,
"Group 1 - DR.03:09.916.01 - Inadequate or unsatisfactory job performance; DR.03:09.920.01 (a) - failure to follow safety rules and procedures - Group 2 - Insubordination - DR.03.09.932.01 - Failure to follow supervisor instruction, peform assigned work, or otherwise comply with policy and procedure - DR.03:08.1700.01 - Tobacco-Free Enviorment - the use of tobacco products while in an agency vehicle is prohibited - 16 hours suspension",Improper Use or Destruction of Equipment,,
DR.03:09.916.01 B - Inadequate or unsatifactory job performance.,Neglect of Duty and Professionalism,,
DR.03:09.935.01 & DR.03:09.931.02 - Failure to act when necessary and DR.03:09.935.01 - proper use of equiment - suspension 8 hours and suspend from FTO,Neglect of Duty and Professionalism,,
Verbal Warning,Other Allegation,,
"DR.03:08.000 - A. Members of the STPSO shall conduct themselves at all times, both on and off duty, in such a manner as to reflect most favorably on the Agency. - Unbecoming conduct shall include that which brings the Agency into disrepute or reflects discredit upon the individual as a member of the STPSO, or that which impairs the operation or efficiency of the STPSO or the individual - Group 2 - Failure to Act - DR.03.09.931.02 - Failure to properly supervise subordinates, or to follow through with appropriate disciplinary action when knowledge of a violation is observed and/or reported/discovered - Group 2 - Insubordination - DR.03:09.932.01 - failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - Group 3 failure to observe - DR.03.09.957.01 - willful disregard of agency rules, regulations, policies or procedures - demoted to deputy",Neglect of Duty and Professionalism,,
"DR.03:09.500.01 - Dishonesty, discourteous treatment of others, job inefficiency, neglect of duty, unprofessional conduct, DR.03:09.195.01 b. failure to work cooperatively with other employees or supervisors, DR.03:09.916.01 - Job Performance - a) neglect of work b) inadequate or unsatisfactory job performance c) unsatisfactory work or failure to maintain required standard of performance - warning",Falsifying Statements and Reports,,
"Group 2 - Insubordination - DR.03:09.932.01 - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. Group 3 DR.03:09.932.01 - Wanton or willful neglect of duties - 40 hour suspension",Neglect of Duty and Professionalism,,
DR.03:09.916.01 b - Group 1- Unsatisfactory Work Performance - DR.03:09.919. c. Failure to submit properly written reports within a reasonable time as per regulation - warning,Neglect of Duty and Professionalism,,
"Group 2 - Failure to Act - DR.03:09.931.02 (d) - failure to properly supervise subordinates, or to follow through with appropriate disciplinary action when knowledge of a violation is obaserved and/or reported/discovered. Group 3 - Job Performance - DR.03:09.970.01 (a) wanton or willful neglect of duties - terminated",Neglect of Duty and Professionalism,,
"Grp 1 - DR.03:09.920.01 - Safety - failure to follow safety rules and procedures. DR.03:09.935.01 - Proper use of equipment - failure to properly care for assisgned equipment, or any agency property - warning",Improper Use or Destruction of Equipment,,
Group 1 - DR. 03:09.914.01 a. - Starting late or leaving early without followin the established procedures - warning,Neglect of Duty and Professionalism,,
Group 3 - DR.09.932.01 - Insurbordination - this is 3rd Group 2 - 80 hours suspension,Neglect of Duty and Professionalism,,
DR.03:09.957 © - Willful disregard of Agency rules - DR.03:09.968 (a) - Accepting a bribe or gratuity or permitting illegal act - DR.03.09.970 (a) - Wanton or willful neglect of duties - discharged,Neglect of Duty and Professionalism,,
"Grp 1 DR.03:09.916.01 c. Unsatisfactory work or failure to maintain required standard of performance; DR.03:09.915.01 a. Interfering with the work of others, b. Failure to work cooperatively with others; Grp. 2 DR.03:09.932.01-Failure to comply with supervisor's instructions, perform assigned work,or comply with policy and procedure. - Warning",Neglect of Duty and Professionalism,,
"Fighting or attempting to injure other employees, supervisors, or the public. Taking any action which will impair the efficiency or reputation of the Agency, its members or Deputies - suspension",General Harassment,,
"Cash Balance Procedure - SOP.0085.01.010.01 - Any shortage, overage, and/or discrepancy of $50 and over will be documented and the employee will be placed on probation for a period of one year. - warning",Other Allegation,,
DR.03:09.935.01 (Unauthorized use or misuse of the Agency's property or equipment) - warning,Improper Use or Destruction of Equipment,,
Violation of Rules/Policy - Warning,Neglect of Duty and Professionalism,,
"DR.03:09.032 a - Group 2 - Insubordnation: Failure to follow supervisor instruction, perform assigned work, or otherwise comply with policy and procedure - Suspension 40 hours",Neglect of Duty and Professionalism,,
Unsatisfactory Job Performance - warning,Neglect of Duty and Professionalism,,
Grp 2 - DR.03:09.935.01 - proper use of equipment a. failure to properly care for assigned equipment or any Agency property - DR.03.09.931.02 - failure to act when necessary - suspension,Improper Use or Destruction of Equipment,,
Group 1 - DR.03:09.916.01 - Inadequate or unsatisfactory job performance - not delivering papers on a timely basis- warning,Neglect of Duty and Professionalism,,
Dy Hines did not properly maintain safety protocols. An individual was detoxing and had been somewhat combative towards staff and was segrated into old medical so he could attend 72 hour hearing after the group was finished. Dy Hines allowed him to return back to the group which involved in disciplinary for Dy. Matsumoto - Group 1 - DR.03:09.920.01 (a) - Safety - failure to follow safety rules and procedures - Group 2 - Insubordination - failure to comply with policy and procedure - 8 hours suspension,Neglect of Duty and Professionalism,,
Group 3 - DR.03:09.916 (b) - Inadequate or unsastisfactory job performance & DR.03:09.916 © - unsatisfactory work or failure to maintain required standard of performance,Neglect of Duty and Professionalism,,
"DR.03:09.957.01 Willful disregard of Agency rules, regulations, policies or procedures",Neglect of Duty and Professionalism,,
"DR.03:09.914.01 - Starting late, or leaving early, without following established procedures, DR.03.09.960.01 d - knowingly making any false official statement - termination",Falsifying Statements and Reports,,
"Disruptive work behavior, violation of rules/policy - warning",Neglect of Duty and Professionalism,,
"DR.03:09.955.01 - Taking any action which will impair the efficiency or reputation of the Agency, its members or employees - discharged",Neglect of Duty and Professionalism,,
DR.07:0300.180.03 Contributing 3rd accident,Improper Use or Destruction of Equipment,,
"Dr.03:08:000 - Employee Conduct - DR.03:09.957.01 - Willful disregard of Agency rules, regulations, policies or procedures - Group 1 DR.03:09.915.01 - Interferring with the work of others; and b. failure to work cooperatively with employees or supervisors - discharged",Neglect of Duty and Professionalism,,
